Longitude,Latitude,Nom de la borne,Addresse,Rue
-71.92853,45.387,Église St-Esprit ,2290,Rue Galt O
-71.932925,45.3714,Aréna du Mont St-Anne,2100,Chem. de Sainte-Catherine
-71.86913,45.43426,Quartier santé,2015,12e Avenue N
-71.87296,45.42373,Dépanneur Ultramar,1133,13e Avenue N
-71.87779,45.42269,Centre de formation professionnelle 24-juin,639,Rue du 24-Juin
-71.88719,45.42986,Rue du Baron,1668,Chemin des Pèlerins
-71.95339,45.37658,Tim Hortons,3550,Rue Galt O
-71.952431,45.391458,Complexe de la santé,15,Rue J.-A. - Bombardier
-72.03986,45.39567,Église Saint-Élie,7205,Chem. de Sainte-Élie
-72.04209,45.34191,Shell,7390,Boul Bourque
-71.979329,45.33307,Boucherie Face de Boeuf,4250,Chem. Saint-Roch S
-71.948226,45.470253,EKO / Dépanneur Brompton,245,Rue Laval
-71.893761,45.362799,Tim Hortons,3815,College St
-71.98372,45.379532,Parc Mi-Vallon,1443,Rue Milan
-71.98517,45.3729,ProGym Sherbrooke,4796,Boul Bourque
-71.99418,45.36994,École Vision-Sherbrooke,5100,Rue Henri-Labonne
-71.83975,45.411914,IGA Extra Couture,2240,Rue King E
-71.86057,45.37371,Église St Andrew's,256,Rue Queen
-71.958871,45.40514,Momo Sports ,530,Rue Jean-Paul-Perrault
-71.98237,45.3955,Entrepôt Coop Alentour,4740,Boulevard Industriel
-71.968,45.40102,Écocentre - Rose-Cohen,365,Rue Pépin
-71.99417,45.354676,Parc Central,6161,Rue du Président Kennedy 
-71.96842,45.36906,Les Entreprises Lachance Inc,663,Rue de Charlemagne 
-72.01376,45.39235,Iga Bouchard ,6185,QC-220
-71.906743,45.388925,Aréna Ivan-Dugré,1250,Rue Galt O
-71.91588,45.41116,Centre de la Petite Enfance Carrosse-Citrouille Inc,1680,Rue Garant
-71.927644,45.398337,Les Promenades King,2213,Rue King O
-71.93049,45.39673,Récupex Ing,2345,Rue Hertel
-71.98778,45.35478,Dépanneur Gamma,699,Rue du Curé
-71.87277,45.406388,Parc Édouard-Boudreau,44,10e Avenue N
-71.86877,45.39284,Parc Bureau ,925,Rue Walsh
-71.86861714764248,45.40350486546573,Déménagement Roy,316,12e Avenue S
-72.01807029999999,45.3141229,CENTRE JEUNESSE DE L'ESTRIE (VAL-DU-LAC),8475,Chemin Blanchette
-72.0065982,45.362291,CANAC,5711,Boulevard Bourque
-72.0285083,45.349654,ATELIER DESGAGNÉS INC.,6791,Boulevard Bourque
-72.03232009999999,45.3752043,SOL PERGOLA,534,Chemin Louis-Cayer
-72.0561067,45.3635939,GOUPRO ALUMINIUM,1626,Chemin Laliberté
-71.99745709999999,45.3929627,DÉNEIGEMENT PATRICE BOISVERT,71,Chemin Godin
-72.00434430000001,45.4228407,GARAGE S. COUTURE,1225,Chemin Dion
-71.99047829999999,45.3125665,PIÈCES D'AUTOS USAGÉES SHERBROOKE,6031,Chemin Beaudette
-71.9598032,45.4492056,PA DUBOIS ÉLECTRIQUE,2501,Chemin des Écossais
-71.9658575,45.419703,CANADIAN TIRE,4100,Boulevard Josaphat-Rancourt
-71.9056994,45.51045,LES LOISIRS DE NOTRE-DAME-DES-MÈRES INC.,731,Chemin de Notre-Dame-des-Mères
-71.81405379222844,45.36486154821841,CENTRE DE FORMATION PROFESSIONNELLE LENNOXVILLE,1700,Rue College
-71.9340565,45.4595943,ÉBÉNISTERIE LOUIS BLAIS,11,Rue Véronneau
-71.8976519,45.4548721,SANCTUAIRE DU SACRÉ-CŒUR-DE-BEAUVOIR,675,Côte de Beauvoir
-71.92303749999999,45.4918539,MARCO BROCHU ENR.,576,Chemin de Notre-Dame-des-Mères
-71.9525802,45.4854956,LES ENCHÈRES A/B,333,Route de Windsor
-72.05782649999999,45.3260094,POMPAGE DE BÉTON MC LTÉE,8530,Boulevard Bourque
-72.0993333,45.3041848,CINÉ-PARC ORFORD,2751,Rue Roméo-Lacroix
-71.94488729999999,45.3512589,PLOMBERIE MARIO CÔTÉ INC.,3310,Chemin de North Hatley
-71.82518809999999,45.32600929999999,CLUB DE GOLF MILBY INC.,2200,Chemin Bowers
-71.82827089999999,45.4217611,VACANT,2875,Rue Carignan
-71.8240483,45.4267534,DUFAULT & GOBEIL ÉLECTRICIENS INC.,3005,Rue Gastin
-71.86072779999999,45.44935759999999,CHSLD VIGI SHERMONT (CENTRE D'HÉBERGEMENT DE SOINS DE LONGUE DURÉE),3220,12e Avenue Nord
-72.06024839999999,45.3905807,CERTI RECYCLAGE,7860,Chemin de Saint-Élie
-72.1040332,45.3725597,ST-ÉLIE MOTORSPORTS,9327,Chemin de Saint-Élie
-71.87332219999999,45.3652255,CASERNE INCENDIE LENNOXVILLE,3175,Rue College
-71.8460109,45.3820737,VACANT,100,Rue du Cardinal-Lavigerie
-71.8461204,45.3423472,ÉCOLE PRIMAIRE LA SOURCE,1399,Rue Campbell
-71.897744,45.4074765,ÉGLISE BAPTISTE DU BERGER,510,Rue Prospect
